leaves: 225
ind_0001	一般公共服务
ind_0160	皮革、毛皮、羽毛及其制品和制鞋业
ind_0161	短期贷款
ind_0162	石油、煤炭及其他燃料加工业
ind_0163	石油制品类零售额
ind_0164	社会保障和就业
ind_0165	社会消费品零售总额
ind_0166	社会消费品零售总额排名
ind_0167	票据融资
ind_0168	科学技术
ind_0169	科学研究和技术服务业投资
ind_0170	租赁和商务服务业
ind_0171	租赁和商务服务业投资
ind_0172	税收收入
ind_0173	第一产业增加值
ind_0174	第一产业投资
ind_0175	第三产业增加值
ind_0176	第三产业投资
ind_0177	第二产业增加值
ind_0178	第二产业投资
ind_0179	粮油、食品类零售额
ind_0180	纺织业
ind_0181	纺织服装、服饰业
ind_0182	经营净收入
ind_0183	经营贷款
ind_0184	罚没收入
ind_0185	耕地占用税
ind_0186	节能环保
ind_0187	营业收入
ind_0188	行政性收费
ind_0189	规模以下工业总产值
ind_0190	规模工业增加值
ind_0191	规模工业增加值排名
ind_0192	规模工业总产值
ind_0193	计算机、通信和其他电子设备制造业
ind_0194	设备工器具购置
ind_0195	财产净收入
ind_0196	资源税
ind_0197	车船税
ind_0198	转移净收入
ind_0199	进出口
ind_0200	进口
ind_0201	通用设备制造业
ind_0202	造纸和纸制品业
ind_0203	酒、饮料和精制茶制造业
ind_0204	采矿业投资
ind_0205	金属制品业
ind_0206	金融业
ind_0207	金融业投资
ind_0208	长株潭地区(45贸外处4)
ind_0209	长株潭地区(46贸外处5)
ind_0210	限额以上法人单位零售额
ind_0211	限额以上零售额
ind_0212	非国有投资
ind_0213	非税收入
ind_0214	非金属矿物制品业
ind_0215	非金属矿采选业
ind_0216	非金融企业及机关团体贷款
ind_0217	非金融企业存款
ind_0218	非银行业金融机构存款
ind_0219	非银行业金融机构贷款
ind_0220	食品制造业
ind_0221	饮料类零售额
ind_0222	高技术产业投资
ind_0223	高技术产业投资排名
ind_0224	黑色金属冶炼和压延加工业
ind_0225	黑色金属矿采选业
